Reference,Qty,DigiKey_Part_Number,Manufacturer_Part_Number,Purchase-URL,Description
U9,1,296-41360-1-ND,OPA237UA/2K5,https://www.digikey.com.au/en/products/detail/texas-instruments/OPA237UA-2K5/301208?srsltid=AfmBOoovX1su9fCRicyzjYe8V_VOoNtmPIc0VlihsrUkSeXMMcrmvdY9,Standard (General Purpose) Amplifier 1 Circuit 8-SOIC
"U4,U6,U8",3,TC4420CPA-ND,TC4420CPA,https://www.digikey.com.au/en/products/detail/microchip-technology/TC4420CPA/267369?srsltid=AfmBOoqRJnsI7GN-IgTvmA8pEuUoYlwkF43Olk4oSDQdHZJmRsYpAcAQ,Low-Side Gate Driver IC Non-Inverting 8-PDIP
"U3,U5,U7",3,516-1741-5-ND,HCPL-2211-300E,https://www.digikey.com.au/en/products/detail/broadcom-limited/HCPL-2211-300E/1236284,"Logic Output Optoisolator 5MBd Push-Pull, Totem Pole 3750Vrms 1 Channel 5kV/µs, 10kV/µs CMTI 8-DIP Gull Wing"
U2,1,620-1634-1-ND,ACS722LLCTR-05AB-T,https://www.digikey.com/en/products/detail/allegro-microsystems/ACS722LLCTR-05AB-T/4915375,"±5A Bidirectional Hall-Effect Current Sensor, +3.3V supply, 264mV/A, SOIC-8"
"Rd4,Rd8,Rd12",3,118-CR0805-JW-220ELFCT-ND,CR0805-JW-220ELF,https://www.digikey.com/en/products/detail/bourns-inc/CR0805-JW-220ELF/3785269,"22 Ohms ±5% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"Rd3,Rd7,Rd11",3,RG20P5.60KBCT-ND,RG2012P-562-B-T5,https://www.digikey.com/en/products/detail/susumu/RG2012P-562-B-T5/1266880,"5.6 kOhms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Anti-Sulfur, Automotive AEC-Q200 Thin Film"
"Rd2,Rd6,Rd10",3,311-10.0CRCT-ND,RC0805FR-0710RL,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710RL/727534,"10 Ohms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"Rd1,Rd5,Rd9",3,2019-RN73H2ATTD2200F100CT-ND,RN73H2ATTD2200F100,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RN73H2ATTD2200F100/10089545,"220 Ohms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Moisture Resistant Metal Film"
"R2,R3,R4,R5,R6",5,2019-RN73H2ATTD1002B25CT-ND,RN73H2ATTD1002B25,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RN73H2ATTD1002B25/10060593,"10 kOhms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Moisture Resistant Metal Film"
R1,1,541-1891-1-ND,TNPW080598K8BEEN,https://www.digikey.com/en/products/detail/vishay-dale/TNPW080598K8BEEN/4271755?s=N4IgTCBcDaIKwBYCMBaJAOAnK1A5AIiALoC%2BQA,"98.8 kOhms ±0.1% 0.26W Chip Resistor 0805 (2012 Metric) Anti-Sulfur, Automotive AEC-Q200, Moisture Resistant Thin Film"
"M1,M2,M3",3,IRLZ44NSTRLPBFCT-ND,IRLZ44NSTRLPBF,https://www.digikey.com/en/products/detail/infineon-technologies/IRLZ44NSTRLPBF/856858?s=N4IgTCBcDaIJICUAyAtALGgcgZQCrIAUAhAMRAF0BfIA,"N-Channel 55 V 47A (Tc) 3.8W (Ta), 110W (Tc) Surface Mount D2PAK"
L2,1,118-SRR1210-471MCT-ND,SRR1210-471M,https://www.digikey.com/en/products/detail/bourns-inc/SRR1210-471M/2352900?s=N4IgTCBcDaIMoCUEEYzIAwFoAsB2ZAsiALoC%2BQA,"470 µH Shielded Drum Core, Wirewound Inductor 1.2 A 820mOhm Max Nonstandard"
L1,1,732-11720-ND,74437529203681,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74437529203681/8134294?s=N4IgTCBcDaIOwGYwFoCMq5gAzIHIBEQBdAXyA,"680 µH Shielded Drum Core, Wirewound Inductor 4.8 A 118.3mOhm Nonstandard"
"J_BAT+1,J_M1+1,J_M2+1,J_M3+1,J_Pump+1,J_PV+1,J_VDD1+1",7,CT3151V1-0-ND,CT3151V1-0,https://www.digikey.com/en/products/detail/cal-test-electronics/CT3151V1-0/7383486,SAFETY JACK 4MM HOR PCB BLK
"J_BAT-1,J_M1-1,J_M2-1,J_M3-1,J_Pump-1,J_PV-1,J_VDD1-1",7,CT3151V1-2-ND,CT3151V1-2,https://www.digikey.com/en/products/detail/cal-test-electronics/ct3151v1-2/7383485,SAFETY JACK 4MM HOR PCB RED
"D6,D8,D10",3,MM5Z15VT1GOSCT-ND,MM5Z15VT1G,https://www.digikey.com/en/products/detail/onsemi/MM5Z15VT1G/921077,Zener Diode 15 V 500 mW ±5% Surface Mount SOD-523
"D5,D7,D9",3,1N4148FS-ND,1N4148,https://www.digikey.com/en/products/detail/onsemi/1N4148/458603?s=N4IgTCBcDaIIwDkAsckA4BiBlAtAgIiALoC%2BQA,"100V 0.15A standard switching diode, DO-35"
"D1,D2,D3,D4",4,4878-SK34SMA-3GCT-ND,SK34SMA-3G,https://www.digikey.com/en/products/detail/diotec-semiconductor/SK34SMA-3G/13155211,"Schottky Diodes & Rectifiers Schottky Diode, SMA, 40V, 3A"
"Cvs1,Cvs4,Cvs5",3,490-6113-1-ND,GRM0335C1H101JA01D,https://www.digikey.com/en/products/detail/murata-electronics/grm0335c1h101ja01d/2269165,"Murata 0201 GRM 100pF Ceramic Multilayer Capacitor, 50 V, +125C, C0G Dielectric, +/-5% SMD"
